"Sorry, you must be logged in to post a comment.","Xin lỗi, bạn cần phải đăng nhập để tham gia bình luận."
"Your WordPress home URL %s is invalid.  Please fix the <a href=\"%s\">home option</a>.","Your WordPress home URL %s is invalid.  Please fix the <a href=\"%s\">home option</a>."
Search,Search
"No results found.","Chưa có bài viết nào."
Categories,Danh mục
"%s Comments","%s Bình luận"
"No Comments","Chưa có bình luận"
"1 Comment","1 Bình luận"
Comment,Bình luận
Reply,Trả lời
"Leave a Reply","Trả lời"
"Your comment is awaiting moderation.","Vui lòng đợi BQT duyệt bình luận của bạn."
"%s at %s","%s, %s"
Name,Họ tên
Email,Email
Website,Website
Pages,Trang
Links,Links
Archives,Lưu trữ
"Select Month","Chọn Tháng"
Meta,Meta
"Entries <abbr title=\"Really Simple Syndication\">RSS</abbr>","Entries <abbr title=\"Really Simple Syndication\">RSS</abbr>"
"Powered by WordPress, state-of-the-art semantic personal publishing platform.","Powered by WordPress, state-of-the-art semantic personal publishing platform."
"Select Category","Chọn Danh Mục"
"Recent Posts","Bài viết mới nhất"
"Recent Comments","Bình luận mới nhất"
"%s on %s","%s ngày %s"
"Tag Cloud","Tag Cloud"
Tags,Từ khóa
"Comment on %s by %s","Bình luận trong %s bởi %s"
"By: %s","Bởi: %s"
"Error establishing a database connection","Error establishing a database connection"
Password,Mật khẩu
"&laquo; Previous","&laquo; Trước"
"Next &raquo;","Tiếp &raquo;"
Close,Tắt
January,January
February,February
March,March
April,April
May,May
June,June
July,July
August,August
September,September
October,October
November,November
December,December
Jan_January_abbreviation,Jan_January_abbreviation
Feb_February_abbreviation,Feb_February_abbreviation
Mar_March_abbreviation,Mar_March_abbreviation
Apr_April_abbreviation,Apr_April_abbreviation
May_May_abbreviation,May_May_abbreviation
Jun_June_abbreviation,Jun_June_abbreviation
Jul_July_abbreviation,Jul_July_abbreviation
Aug_August_abbreviation,Aug_August_abbreviation
Sep_September_abbreviation,Sep_September_abbreviation
Oct_October_abbreviation,Oct_October_abbreviation
Nov_November_abbreviation,Nov_November_abbreviation
Dec_December_abbreviation,Dec_December_abbreviation
Sunday,Sunday
Monday,Monday
Tuesday,Tuesday
Wednesday,Wednesday
Thursday,Thursday
Friday,Friday
Saturday,Saturday
Sun,Sun
Mon,Mon
Tue,Tue
Wed,Wed
Thu,Thu
Fri,Fri
Sat,Sat
"Please wait...","Vui lòng đợi..."
Path,Path
Plugin,Plugin
Author,Author
Type,Type
"Previous Post","Bài đăng trước"
"Next Post","Bài tiếp theo"
"Protected: %s","Bảo vệ: %s"
Home,Home
Submit,Gửi
Published,Published
"Search Posts","Tìm kiếm bài viết"
Image,Image
"An unidentified error has occurred.","An unidentified error has occurred."
of,of
Add,Add
"Leave a comment","Chưa có bình luận nào"
"Daily Archives: %s","Lưu trữ hàng ngày: %s"
"Monthly Archives: %s","Lưu trữ hàng tháng: %s"
"Continue reading <span class=\"meta-nav\">&rarr;</span>","Đọc tiếp <span class=\"meta-nav\">&rarr;</span>"
"This entry was posted in %s and tagged %s on %s<span class=\"by-author\"> by %s</span>.","Nội dung này được đăng trong %s với từ khóa %s lúc %s<span class=\"by-author\"> bởi %s</span>."
"This entry was posted in %s on %s<span class=\"by-author\"> by %s</span>.","%s, %s."
"This entry was posted on %s<span class=\"by-author\"> by %s</span>.","%s"
Position,Position
"Install %s","Install %s"
"Update to version %s","Update to version %s"
"Default Template","Default Template"
"You have version %s installed. Update to %s.","You have version %s installed. Update to %s."
