"%s and greater","%s and greater"
"<strong>%d item(s)</strong> were found using the following search criteria","<strong>%d item(s)</strong> were found using the following search criteria"
"Advanced Search","Tìm kiếm nâng cao"
"Advanced Search Form","Bảng tìm kiếm nâng cao"
"Advanced Search Result","Kết quả tìm kiếm nâng cao"
"All","All"
"Applies for ""Like"" search type only.","Applies for ""Like"" search type only."
"Apply Layered Navigation if Search Results are Less Than","Apply Layered Navigation if Search Results are Less Than"
"Attribute setting change related with Search Index. Please run <a href=""%s"">Rebuild Search Index</a> process.","Attribute setting change related with Search Index. Please run <a href=""%s"">Rebuild Search Index</a> process."
"Autogenerated Site Map","Autogenerated Site Map"
"Catalog Advanced Search","Danh mục tìm kiếm nâng cao"
"Catalog Search","Danh mục tìm kiếm"
"Catalog Search Index","Catalog Search Index"
"Don't see what you're looking for?","Don't see what you're looking for?"
"Enter ""0"" to enable layered navigation for any number of results.","Enter ""0"" to enable layered navigation for any number of results."
"Go","Go"
"Go to Home Page","Go to Home Page"
"Grid","Danh sách"
"Home","Home"
"List","Lưới"
"Maximum Query Length","Maximum Query Length"
"Maximum Query Words Count","Maximum Query Words Count"
"Maximum Search query length is %s. Your query was cut.","Maximum Search query length is %s. Your query was cut."
"Maximum words count is %1$s. In your search query was cut next part: %2$s.","Maximum words count is %1$s. In your search query was cut next part: %2$s."
"Minimal Query Length","Minimal Query Length"
"Minimum Search query length is %s","Minimum Search query length is %s"
"Modify your search","Modify your search"
"No","No"
"No items were found using the following search criteria.","No items were found using the following search criteria."
"Please specify at least one search term.","Please specify at least one search term."
"Popular Search Terms","Từ khóa tìm kiếm phổ biến"
"Quick Search Form","Bảng tìm kiếm nhanh"
"Rebuild Catalog product fulltext search index","Rebuild Catalog product fulltext search index"
"Relevance","Mức độ phù hợp"
"Results","Results"
"Search","Search"
"Search Settings","Bảng tìm kiếm"
"Search Terms","Từ khóa tìm kiếm"
"Search Type","Loại tìm kiếm"
"Search entire store here...","Search entire store here..."
"Search results for '%s'","Tìm kiếm theo Từ khóa '%s'"
"Search results for: '%s'","Tìm kiếm theo Từ khóa: '%s'"
"Search:","Tìm kiếm:"
"Specified date is invalid.","Specified date is invalid."
"Subscribe to Feed","Subscribe to Feed"
"There are no search terms available.","There are no search terms available."
"Yes","Yes"
"Your search returns no results.","Không tìm thấy kết quả phù hợp."
"up to %s","up to %s"
